Codigo Empresa;Data Ref;Ano;Mes;Dia;Codigo Conta;Descricao Conta;Valor Trimestre Atual;Valor Exercicio Anterior;Precisao
007617;20230630;2023;06;30;2.01.07.01;Passivos sobre Ativos Não-Correntes a Venda;0;0;Mil
007617;20230630;2023;06;30;2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;0;0;Mil
007617;20230630;2023;06;30;2.02;Passivo Não Circulante;6.302.000;6.302.000;Mil
007617;20230630;2023;06;30;2.02.01;Empréstimos e Financiamentos;6.288.000;6.287.000;Mil
007617;20230630;2023;06;30;2.02.01.01;Empréstimos e Financiamentos;0;0;Mil
007617;20230630;2023;06;30;2.02.01.01.01;Em Moeda Nacional;0;0;Mil
007617;20230630;2023;06;30;2.02.01.01.02;Em Moeda Estrangeira;0;0;Mil
007617;20230630;2023;06;30;2.02.01.02;Debêntures;6.288.000;6.287.000;Mil
007617;20230630;2023;06;30;2.02.01.03;Financiamento por Arrendamento;0;0;Mil
007617;20230630;2023;06;30;2.02.02;Outras Obrigações;2.000;3.000;Mil
007617;20230630;2023;06;30;2.02.02.01;Passivos com Partes Relacionadas;0;0;Mil
007617;20230630;2023;06;30;2.02.02.01.01;Débitos com Coligadas;0;0;Mil
007617;20230630;2023;06;30;2.02.02.01.02;Débitos com Controladas;0;0;Mil
007617;20230630;2023;06;30;2.02.02.01.03;Débitos com Controladores;0;0;Mil
007617;20230630;2023;06;30;2.02.02.01.04;Débitos com Outras Partes Relacionadas;0;0;Mil
007617;20230630;2023;06;30;2.02.02.02;Outros;2.000;3.000;Mil
007617;20230630;2023;06;30;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0;0;Mil
007617;20230630;2023;06;30;2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;0;0;Mil
007617;20230630;2023;06;30;2.02.02.02.03;Outros Passivos;0;0;Mil
007617;20230630;2023;06;30;2.02.02.02.04;Passivos de Arrendamentos;0;2.000;Mil
007617;20230630;2023;06;30;2.02.02.02.05;Outros tributos a recolher;0;0;Mil
007617;20230630;2023;06;30;2.02.02.02.06;Fornecedores;0;0;Mil
007617;20230630;2023;06;30;2.02.02.02.07;Outros tributos diferidos;2.000;1.000;Mil
007617;20230630;2023;06;30;2.02.03;Tributos Diferidos;0;0;Mil
007617;20230630;2023;06;30;2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;0;0;Mil
007617;20230630;2023;06;30;2.02.04;Provisões;12.000;12.000;Mil
007617;20230630;2023;06;30;2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;12.000;12.000;Mil
007617;20230630;2023;06;30;2.02.04.01.01;Provisões Fiscais;12.000;12.000;Mil
007617;20230630;2023;06;30;2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;0;0;Mil
